tool	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 
run set	prp	prp	prp	prp	prp	prp	prp	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0
/home/nitin/app/experiments/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_RING50_9.yml	true	16.194403	16.21576847099641	242.421760	878	15.756991087997449	0.2849042739981087	true	7.071573	7.094132491009077	46.358528	1616	6.634791527991183	0.2823455719917547
AIJ_Barman_RND50_1.yml	true	10.429337	10.451069739006925	44.818432	1451	9.978238630006672	0.2904545440032962	true	13.156288	13.179020562005462	53.641216	1569	12.715604944998631	0.28786068299086764
AIJ_Barman_RND50_10.yml	false	1799.356328	1799.4755130640042	176.197632	-1	1799.0025521009957	0.2861126179996063	true	1410.099932	1410.1925896530156	172.277760	9202	1409.7248371070018	0.28393151398631744
AIJ_Barman_RND50_11.yml	false	1799.36464	1799.4839497680005	175.124480	-1	1799.0051761369978	0.2898485750047257	false	1799.376479	1799.4811470599961	157.392896	-1	1799.0059625550057	0.2827816770004574
AIJ_Barman_RND50_12.yml	false	1799.256475	1799.4936662229957	178.012160	-1	1799.0049344	0.2938157169992337	false	1799.267541	1799.485607059003	151.371776	-1	1799.006988167006	0.28655099199386314
AIJ_Barman_RND50_13.yml	false	1799.38431	1799.4817372949983	187.895808	-1	1799.004743368001	0.28953897500468884	false	1799.386289	1799.5085470850172	167.243776	-1	1799.002415010007	0.3012078090105206
AIJ_Barman_RND50_14.yml	false	1799.376318	1799.4738334680005	189.468672	-1	1799.0024767270006	0.2823640379938297	false	1799.387313	1799.489906058996	162.926592	-1	1799.0040896770079	0.29119960399111733
AIJ_Barman_RND50_15.yml	false	1799.382912	1799.4722662869972	218.320896	-1	1799.0020480289968	0.28393621100258315	false	1799.397202	1799.490714162006	151.769088	-1	1799.0038274629915	0.2923267589940224
AIJ_Barman_RND50_16.yml	true	26.512395	26.537359093003033	114.700288	1747	26.05787351100298	0.29772136700194096	true	1412.781302	1412.8726090730052	525.242368	6631	1412.3629852489976	0.3112792980100494
AIJ_Barman_RND50_17.yml	true	43.14853	43.17189919499651	101.543936	1722	42.70927614399989	0.2867648090032162	false	1799.448679	1799.4980446289992	552.972288	-1	1799.0073981790047	0.2918851170106791
AIJ_Barman_RND50_18.yml	true	47.299322	47.32240244100103	166.293504	1838	46.84113749000244	0.30031912599952193	false	1799.439236	1799.4914437459956	570.658816	-1	1799.0076345330162	0.2903667130158283
AIJ_Barman_RND50_19.yml	true	144.613882	144.64452378400165	135.303168	3246	144.17721433899715	0.2917685270003858	false	1799.415606	1799.4903220369888	356.610048	-1	1799.0059305070026	0.288225037016673
AIJ_Barman_RND50_2.yml	true	9.832317	9.85267361500155	43.458560	1340	9.384870788002445	0.29227146999619436	true	11.732086	11.754586181981722	54.329344	1516	11.292273842002032	0.287386523996247
