tool	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 
run set	lpg	lpg	lpg	lpg	lpg	lpg	lpg	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small
/home/nitin/app/benchmarks/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_EIGHT50_5.yml	true	173.123682	173.26485465839505	296.308736	8117	172.81920343451202	0.26486311201006174	true	30.255073	30.269905752502382	275.312640	9029	29.816643328405917	0.2769221244379878
AIJ_Barman_EIGHT50_6.yml	true	855.25722	855.4580138046294	360.992768	49764	854.9707719441503	0.2815238106995821	true	72.980384	73.02081465255469	286.949376	13945	72.56077131349593	0.2720206109806895
AIJ_Barman_EIGHT50_7.yml	true	926.445639	926.5729769738391	369.479680	58714	926.1154449181631	0.26144316885620356	true	69.209939	69.23277282714844	284.717056	13330	68.74718693457544	0.2875061249360442
AIJ_Barman_EIGHT50_8.yml	true	525.58396	525.8418737286702	322.707456	37363	525.3665701001883	0.26846368983387947	true	101.876892	101.93565726839006	291.713024	18277	101.4769042879343	0.26817782409489155
AIJ_Barman_EIGHT50_9.yml	true	144.897968	145.0100785009563	289.083392	11540	144.5648428555578	0.2721249097958207	true	27.711161	27.72539710253477	275.677184	4461	27.24576332513243	0.2863461058586836
AIJ_Barman_RING50_1.yml	true	62.734449	62.75956294871867	295.522304	2932	62.314894755370915	0.2637755172327161	true	11.372153	11.381550990976393	274.583552	2295	10.927125444635749	0.27160917688161135
AIJ_Barman_RING50_10.yml	true	9.522259	9.617276942357421	283.041792	2201	9.166944870725274	0.27139654103666544	true	10.023083	10.031973299570382	277.544960	1725	9.580055522732437	0.2716106064617634
AIJ_Barman_RING50_11.yml	true	50.85029	50.95118369907141	303.534080	2937	50.51556921284646	0.264611785300076	true	9.589637	9.599145117215812	279.584768	1448	9.158054711297154	0.2702032132074237
AIJ_Barman_RING50_12.yml	true	9.824411	9.9210787396878	290.594816	1872	9.476688504219055	0.2729330202564597	true	12.728254	12.736571706831455	281.186304	1917	12.286254594102502	0.27106815576553345
AIJ_Barman_RING50_13.yml	true	17.296208	17.403534756973386	297.467904	1741	16.96564689464867	0.2679735366255045	true	11.390262	11.39778297021985	279.453696	1664	10.952099241316319	0.27290256042033434
AIJ_Barman_RING50_14.yml	true	13.414893	13.516492513939738	291.545088	2156	13.081488587893546	0.26525532733649015	true	11.996727	12.005772191099823	281.788416	1911	11.550056942738593	0.27116719260811806
AIJ_Barman_RING50_15.yml	true	25.297713	25.313570597209036	290.635776	2589	24.87471901997924	0.2750243581831455	true	13.147468	13.154906035400927	281.272320	2090	12.71686245687306	0.26573431584984064
AIJ_Barman_RING50_16.yml	true	32.850179	32.86027368623763	288.436224	204	32.418824774213135	0.26705717761069536	true	4.913592	4.9214621521532536	282.071040	233	4.483695809729397	0.2645543562248349
AIJ_Barman_RING50_17.yml	true	964.317656	964.7188164731488	471.285760	1322	964.2718416759744	0.2741279499605298	true	6.147707	6.155608746223152	276.258816	254	5.71919824834913	0.2623511394485831
