task,run,status,solved,cputime,walltime,memory_mb,policy_size,solve_time,translation_time,benchmark,set,domain,sub_domain,full_domain,instance
AIJ_Barman_RND50_10.yml,pr2,true,True,37.166826,37.17715624207631,77.29152,12077.0,36.684958801139146,0.2917168089188635,"('AIJ', 'Barman', 'RND50', '10')",AIJ,Barman,RND50,Barman-RND50,10
AIJ_Barman_RND50_11.yml,pr2,false,False,1799.431886,1799.581706434954,358.883328,-1.0,1799.017122421879,0.2935565840452909,"('AIJ', 'Barman', 'RND50', '11')",AIJ,Barman,RND50,Barman-RND50,11
AIJ_Barman_RND50_12.yml,pr2,false,False,1767.933759,1768.1082686833106,362.041344,-1.0,1767.5069357869215,0.297617700882256,"('AIJ', 'Barman', 'RND50', '12')",AIJ,Barman,RND50,Barman-RND50,12
AIJ_Barman_RND50_13.yml,pr2,false,False,1300.388986,1300.7826743060723,349.601792,-1.0,1300.1919675050303,0.3029243978671729,"('AIJ', 'Barman', 'RND50', '13')",AIJ,Barman,RND50,Barman-RND50,13
AIJ_Barman_RND50_14.yml,pr2,false,False,1426.84813,1426.9758618641645,368.51712,-1.0,1426.3933500233106,0.2945626522414386,"('AIJ', 'Barman', 'RND50', '14')",AIJ,Barman,RND50,Barman-RND50,14
AIJ_Barman_RND50_15.yml,pr2,false,False,1710.187673,1710.4459086158313,359.85408,-1.0,1709.8169731427915,0.2980250637046993,"('AIJ', 'Barman', 'RND50', '15')",AIJ,Barman,RND50,Barman-RND50,15
AIJ_Barman_RND50_16.yml,pr2,true,True,10.506763,10.51472948724404,73.265152,3443.0,10.029045209754258,0.2947370731271803,"('AIJ', 'Barman', 'RND50', '16')",AIJ,Barman,RND50,Barman-RND50,16
AIJ_Barman_RND50_17.yml,pr2,true,True,11.609973,11.617653868161142,88.485888,2705.0,11.132190831005571,0.2957782419398427,"('AIJ', 'Barman', 'RND50', '17')",AIJ,Barman,RND50,Barman-RND50,17
AIJ_Barman_RND50_18.yml,pr2,true,True,15.775189,15.806575275957584,93.712384,4385.0,15.320057956967505,0.2958209053613245,"('AIJ', 'Barman', 'RND50', '18')",AIJ,Barman,RND50,Barman-RND50,18
AIJ_Barman_RND50_19.yml,pr2,true,True,20.473543,20.483913985081017,86.065152,7164.0,19.973984678741544,0.3121700538322329,"('AIJ', 'Barman', 'RND50', '19')",AIJ,Barman,RND50,Barman-RND50,19
AIJ_Barman_RND50_2.yml,pr2,true,True,7.754705,7.761480160988867,81.936384,1370.0,7.281518160831183,0.292433189228177,"('AIJ', 'Barman', 'RND50', '2')",AIJ,Barman,RND50,Barman-RND50,2
AIJ_Barman_RND50_20.yml,pr2,true,True,19.564639,19.573368354234844,74.805248,6476.0,19.063912445679307,0.305244673974812,"('AIJ', 'Barman', 'RND50', '20')",AIJ,Barman,RND50,Barman-RND50,20
AIJ_Barman_RND50_3.yml,pr2,true,True,8.246316,8.25431179208681,87.457792,1279.0,7.771045021247119,0.2962020938284695,"('AIJ', 'Barman', 'RND50', '3')",AIJ,Barman,RND50,Barman-RND50,3
AIJ_Barman_RND50_4.yml,pr2,true,True,7.035142,7.042748786974698,87.179264,1434.0,6.558283364865929,0.2964180773124099,"('AIJ', 'Barman', 'RND50', '4')",AIJ,Barman,RND50,Barman-RND50,4
AIJ_Barman_RND50_5.yml,pr2,true,True,6.205874,6.213751662988216,70.402048,1468.0,5.716198203153908,0.2980160051956773,"('AIJ', 'Barman', 'RND50', '5')",AIJ,Barman,RND50,Barman-RND50,5
AIJ_Barman_RND50_6.yml,pr2,true,True,67.224333,67.2367575862445,84.938752,14058.0,66.74045030400157,0.296798684168607,"('AIJ', 'Barman', 'RND50', '6')",AIJ,Barman,RND50,Barman-RND50,6
AIJ_Barman_RND50_7.yml,pr2,true,True,36.770166,36.78214647201821,98.238464,11324.0,36.28855785029009,0.2998939440585673,"('AIJ', 'Barman', 'RND50', '7')",AIJ,Barman,RND50,Barman-RND50,7
AIJ_Barman_RND50_8.yml,pr2,true,True,88.784712,88.79971336200833,99.213312,16914.0,88.30042968969792,0.2976997960358858,"('AIJ', 'Barman', 'RND50', '8')",AIJ,Barman,RND50,Barman-RND50,8
AIJ_Barman_RND50_9.yml,pr2,true,True,68.641711,68.68153538089246,88.158208,14967.0,68.19419121788815,0.2965004439465701,"('AIJ', 'Barman', 'RND50', '9')",AIJ,Barman,RND50,Barman-RND50,9
